Using device: cuda
[RUN] 20251009-085806_ResNet18_bs512_lr0.001
[IO ] checkpoints dir: checkpoints/20251009-085806_ResNet18_bs512_lr0.001
[IO ] metrics dir    : metrics/20251009-085806_ResNet18_bs512_lr0.001
[IO ] plots dir      : plots/20251009-085806_ResNet18_bs512_lr0.001
[IO ] checkpoint file: checkpoints/20251009-085806_ResNet18_bs512_lr0.001/20251009-085806_ResNet18_bs512_lr0.001_best.pth
[IO ] metrics file   : metrics/20251009-085806_ResNet18_bs512_lr0.001/20251009-085806_ResNet18_bs512_lr0.001_metrics.json
Training started..
Epoch 01/100 | train_loss=4.3430 | train_top1=9.43% | train_top5=26.23% | val_loss=3.9421 | val_top1=12.57% | val_top5=35.34% | epoch_time=148.7s
Epoch 02/100 | train_loss=3.5309 | train_top1=20.33% | train_top5=45.65% | val_loss=3.5616 | val_top1=19.62% | val_top5=45.09% | epoch_time=146.1s
Epoch 03/100 | train_loss=3.1123 | train_top1=27.55% | train_top5=55.32% | val_loss=3.2440 | val_top1=25.77% | val_top5=52.80% | epoch_time=146.7s
Epoch 04/100 | train_loss=2.8045 | train_top1=33.62% | train_top5=61.75% | val_loss=3.2587 | val_top1=27.32% | val_top5=53.38% | epoch_time=146.7s
Epoch 05/100 | train_loss=2.5707 | train_top1=38.31% | train_top5=66.43% | val_loss=2.9253 | val_top1=31.62% | val_top5=59.22% | epoch_time=146.8s
Epoch 06/100 | train_loss=2.3792 | train_top1=42.20% | train_top5=70.07% | val_loss=2.6496 | val_top1=37.28% | val_top5=64.47% | epoch_time=146.7s
Epoch 07/100 | train_loss=2.2098 | train_top1=45.70% | train_top5=73.31% | val_loss=2.6778 | val_top1=37.71% | val_top5=64.89% | epoch_time=146.6s
Epoch 08/100 | train_loss=2.0667 | train_top1=48.66% | train_top5=75.69% | val_loss=2.6290 | val_top1=38.15% | val_top5=66.10% | epoch_time=146.6s
Epoch 09/100 | train_loss=1.9278 | train_top1=51.70% | train_top5=78.14% | val_loss=2.5002 | val_top1=40.60% | val_top5=68.46% | epoch_time=146.6s
Epoch 10/100 | train_loss=1.8036 | train_top1=54.20% | train_top5=80.20% | val_loss=2.4496 | val_top1=42.10% | val_top5=69.81% | epoch_time=146.6s
Epoch 11/100 | train_loss=1.6966 | train_top1=56.75% | train_top5=81.93% | val_loss=2.3287 | val_top1=45.02% | val_top5=71.72% | epoch_time=146.6s
Epoch 12/100 | train_loss=1.5905 | train_top1=58.97% | train_top5=83.65% | val_loss=2.2056 | val_top1=47.18% | val_top5=73.79% | epoch_time=146.7s
Epoch 13/100 | train_loss=1.4811 | train_top1=61.44% | train_top5=85.22% | val_loss=2.1281 | val_top1=48.78% | val_top5=74.73% | epoch_time=146.8s
Epoch 14/100 | train_loss=1.3868 | train_top1=63.56% | train_top5=86.64% | val_loss=2.2213 | val_top1=48.83% | val_top5=74.37% | epoch_time=146.8s
Epoch 15/100 | train_loss=1.2889 | train_top1=65.78% | train_top5=88.23% | val_loss=2.1906 | val_top1=49.32% | val_top5=74.44% | epoch_time=146.7s
Epoch 16/100 | train_loss=1.2027 | train_top1=67.79% | train_top5=89.42% | val_loss=2.1623 | val_top1=49.44% | val_top5=75.06% | epoch_time=146.8s
Epoch 17/100 | train_loss=1.1006 | train_top1=70.19% | train_top5=90.80% | val_loss=2.1385 | val_top1=51.52% | val_top5=76.02% | epoch_time=146.8s
Epoch 18/100 | train_loss=1.0140 | train_top1=72.39% | train_top5=91.96% | val_loss=2.1402 | val_top1=51.69% | val_top5=76.21% | epoch_time=146.6s
Epoch 19/100 | train_loss=0.9229 | train_top1=74.52% | train_top5=93.04% | val_loss=2.2517 | val_top1=49.83% | val_top5=75.48% | epoch_time=146.5s
Epoch 20/100 | train_loss=0.8401 | train_top1=76.64% | train_top5=94.16% | val_loss=2.2734 | val_top1=50.28% | val_top5=75.22% | epoch_time=146.6s
Epoch 21/100 | train_loss=0.7665 | train_top1=78.57% | train_top5=95.06% | val_loss=2.2519 | val_top1=51.15% | val_top5=75.58% | epoch_time=146.5s
Epoch 22/100 | train_loss=0.6865 | train_top1=80.55% | train_top5=95.96% | val_loss=2.3312 | val_top1=50.33% | val_top5=75.04% | epoch_time=146.5s
Epoch 23/100 | train_loss=0.6114 | train_top1=82.68% | train_top5=96.74% | val_loss=2.2632 | val_top1=51.53% | val_top5=76.17% | epoch_time=146.7s
Epoch 24/100 | train_loss=0.5466 | train_top1=84.37% | train_top5=97.44% | val_loss=2.4059 | val_top1=51.41% | val_top5=75.59% | epoch_time=146.6s
Epoch 25/100 | train_loss=0.4791 | train_top1=86.25% | train_top5=98.02% | val_loss=2.4744 | val_top1=50.64% | val_top5=74.93% | epoch_time=146.6s
Epoch 26/100 | train_loss=0.4224 | train_top1=87.65% | train_top5=98.50% | val_loss=2.4615 | val_top1=51.62% | val_top5=75.86% | epoch_time=146.7s
