Using device: cuda
[RUN] 20251004-200130_TinyNet_d3_bs512_lr0.001
[IO ] checkpoints dir: checkpoints/20251004-200130_TinyNet_d3_bs512_lr0.001
[IO ] metrics dir    : metrics/20251004-200130_TinyNet_d3_bs512_lr0.001
[IO ] plots dir      : plots/20251004-200130_TinyNet_d3_bs512_lr0.001
[IO ] checkpoint file: checkpoints/20251004-200130_TinyNet_d3_bs512_lr0.001/20251004-200130_TinyNet_d3_bs512_lr0.001_best.pth
[IO ] metrics file   : metrics/20251004-200130_TinyNet_d3_bs512_lr0.001/20251004-200130_TinyNet_d3_bs512_lr0.001_metrics.json
Epoch 01/500 | train_loss=4.5825 | train_top1=7.66% | train_top5=22.12% | val_loss=4.2863 | val_top1=9.91% | val_top5=28.10% | epoch_time=24.1s
Epoch 02/500 | train_loss=4.0515 | train_top1=14.21% | train_top5=34.71% | val_loss=3.9955 | val_top1=14.26% | val_top5=35.20% | epoch_time=13.8s
Epoch 03/500 | train_loss=3.8268 | train_top1=17.48% | train_top5=40.03% | val_loss=3.8088 | val_top1=16.94% | val_top5=39.74% | epoch_time=12.5s
Epoch 04/500 | train_loss=3.6771 | train_top1=19.89% | train_top5=43.28% | val_loss=3.8470 | val_top1=16.77% | val_top5=38.98% | epoch_time=12.1s
Epoch 05/500 | train_loss=3.5691 | train_top1=21.53% | train_top5=45.95% | val_loss=3.7108 | val_top1=18.54% | val_top5=41.90% | epoch_time=12.2s
Epoch 06/500 | train_loss=3.4744 | train_top1=23.14% | train_top5=47.91% | val_loss=3.5423 | val_top1=21.84% | val_top5=46.02% | epoch_time=12.2s
Epoch 07/500 | train_loss=3.3959 | train_top1=24.62% | train_top5=49.87% | val_loss=3.5047 | val_top1=22.76% | val_top5=46.94% | epoch_time=12.2s
Epoch 08/500 | train_loss=3.3297 | train_top1=25.68% | train_top5=51.41% | val_loss=3.4843 | val_top1=22.83% | val_top5=47.52% | epoch_time=12.1s
Epoch 09/500 | train_loss=3.2743 | train_top1=26.87% | train_top5=52.67% | val_loss=3.6332 | val_top1=21.16% | val_top5=44.16% | epoch_time=12.1s
Epoch 10/500 | train_loss=3.2250 | train_top1=27.62% | train_top5=53.53% | val_loss=3.3840 | val_top1=24.47% | val_top5=49.30% | epoch_time=12.1s
Epoch 11/500 | train_loss=3.1794 | train_top1=28.51% | train_top5=54.66% | val_loss=3.3583 | val_top1=25.05% | val_top5=49.79% | epoch_time=12.1s
Epoch 12/500 | train_loss=3.1307 | train_top1=29.11% | train_top5=55.60% | val_loss=3.3376 | val_top1=25.87% | val_top5=51.23% | epoch_time=12.4s
Epoch 13/500 | train_loss=3.0950 | train_top1=29.94% | train_top5=56.24% | val_loss=3.3740 | val_top1=25.21% | val_top5=50.45% | epoch_time=12.3s
Epoch 14/500 | train_loss=3.0558 | train_top1=30.64% | train_top5=57.14% | val_loss=3.2247 | val_top1=27.85% | val_top5=53.23% | epoch_time=12.0s
Epoch 15/500 | train_loss=3.0221 | train_top1=31.34% | train_top5=57.96% | val_loss=3.2070 | val_top1=27.68% | val_top5=53.49% | epoch_time=12.0s
Epoch 16/500 | train_loss=2.9958 | train_top1=31.77% | train_top5=58.38% | val_loss=3.2350 | val_top1=27.97% | val_top5=54.11% | epoch_time=12.2s
Epoch 17/500 | train_loss=2.9571 | train_top1=32.68% | train_top5=59.16% | val_loss=3.1938 | val_top1=28.43% | val_top5=53.68% | epoch_time=12.2s
Epoch 18/500 | train_loss=2.9323 | train_top1=32.97% | train_top5=59.71% | val_loss=3.1719 | val_top1=28.61% | val_top5=54.73% | epoch_time=12.1s
Epoch 19/500 | train_loss=2.9066 | train_top1=33.42% | train_top5=60.25% | val_loss=3.1769 | val_top1=28.75% | val_top5=54.62% | epoch_time=12.1s
Epoch 20/500 | train_loss=2.8843 | train_top1=33.87% | train_top5=60.75% | val_loss=3.1417 | val_top1=29.50% | val_top5=55.12% | epoch_time=12.1s
Epoch 21/500 | train_loss=2.8585 | train_top1=34.29% | train_top5=61.23% | val_loss=3.1125 | val_top1=29.64% | val_top5=56.11% | epoch_time=12.2s
Epoch 22/500 | train_loss=2.8360 | train_top1=34.85% | train_top5=61.54% | val_loss=3.0796 | val_top1=30.19% | val_top5=56.45% | epoch_time=12.3s
Epoch 23/500 | train_loss=2.8114 | train_top1=35.27% | train_top5=62.22% | val_loss=3.1340 | val_top1=29.58% | val_top5=55.61% | epoch_time=12.2s
Epoch 24/500 | train_loss=2.7858 | train_top1=35.77% | train_top5=62.73% | val_loss=3.0246 | val_top1=31.46% | val_top5=58.02% | epoch_time=12.3s
Epoch 25/500 | train_loss=2.7674 | train_top1=36.19% | train_top5=63.04% | val_loss=2.9986 | val_top1=31.63% | val_top5=58.06% | epoch_time=12.1s
Epoch 26/500 | train_loss=2.7506 | train_top1=36.39% | train_top5=63.28% | val_loss=3.1039 | val_top1=29.67% | val_top5=56.31% | epoch_time=12.3s
Epoch 27/500 | train_loss=2.7351 | train_top1=36.81% | train_top5=63.64% | val_loss=3.0252 | val_top1=31.56% | val_top5=57.72% | epoch_time=12.1s
Epoch 28/500 | train_loss=2.7119 | train_top1=37.21% | train_top5=64.12% | val_loss=3.0064 | val_top1=31.38% | val_top5=58.38% | epoch_time=12.1s
Epoch 29/500 | train_loss=2.6924 | train_top1=37.67% | train_top5=64.65% | val_loss=2.9738 | val_top1=32.48% | val_top5=58.69% | epoch_time=12.1s
Epoch 30/500 | train_loss=2.6786 | train_top1=37.92% | train_top5=64.60% | val_loss=2.9303 | val_top1=33.23% | val_top5=59.55% | epoch_time=12.1s
Epoch 31/500 | train_loss=2.6620 | train_top1=38.14% | train_top5=65.11% | val_loss=3.0061 | val_top1=31.36% | val_top5=57.88% | epoch_time=12.2s
Epoch 32/500 | train_loss=2.6478 | train_top1=38.51% | train_top5=65.36% | val_loss=2.9645 | val_top1=32.95% | val_top5=59.18% | epoch_time=12.1s
Epoch 33/500 | train_loss=2.6326 | train_top1=38.81% | train_top5=65.60% | val_loss=2.9445 | val_top1=32.78% | val_top5=59.49% | epoch_time=12.2s
Epoch 34/500 | train_loss=2.6165 | train_top1=38.93% | train_top5=65.98% | val_loss=2.9433 | val_top1=32.63% | val_top5=59.45% | epoch_time=12.1s
Epoch 35/500 | train_loss=2.6008 | train_top1=39.36% | train_top5=66.17% | val_loss=2.9476 | val_top1=33.06% | val_top5=58.98% | epoch_time=12.3s
Epoch 36/500 | train_loss=2.5896 | train_top1=39.62% | train_top5=66.50% | val_loss=2.8978 | val_top1=34.09% | val_top5=60.68% | epoch_time=12.1s
Epoch 37/500 | train_loss=2.5751 | train_top1=39.86% | train_top5=66.79% | val_loss=3.0471 | val_top1=31.37% | val_top5=57.59% | epoch_time=12.2s
Epoch 38/500 | train_loss=2.5626 | train_top1=40.06% | train_top5=66.98% | val_loss=2.8547 | val_top1=34.61% | val_top5=61.13% | epoch_time=12.1s
Epoch 39/500 | train_loss=2.5473 | train_top1=40.35% | train_top5=67.22% | val_loss=2.9493 | val_top1=33.08% | val_top5=59.55% | epoch_time=12.1s
Epoch 40/500 | train_loss=2.5304 | train_top1=40.74% | train_top5=67.52% | val_loss=2.8833 | val_top1=34.30% | val_top5=60.82% | epoch_time=12.2s
Epoch 41/500 | train_loss=2.5214 | train_top1=41.01% | train_top5=67.63% | val_loss=2.9701 | val_top1=32.90% | val_top5=59.68% | epoch_time=12.1s
Epoch 42/500 | train_loss=2.5124 | train_top1=41.10% | train_top5=67.92% | val_loss=2.9129 | val_top1=33.37% | val_top5=60.58% | epoch_time=12.0s
Epoch 43/500 | train_loss=2.5012 | train_top1=41.20% | train_top5=68.10% | val_loss=2.9002 | val_top1=33.57% | val_top5=60.41% | epoch_time=12.3s
Epoch 44/500 | train_loss=2.4805 | train_top1=41.82% | train_top5=68.36% | val_loss=2.8956 | val_top1=33.90% | val_top5=60.60% | epoch_time=12.2s
Epoch 45/500 | train_loss=2.4748 | train_top1=41.80% | train_top5=68.69% | val_loss=2.8054 | val_top1=35.72% | val_top5=62.52% | epoch_time=12.2s
Epoch 46/500 | train_loss=2.4592 | train_top1=42.12% | train_top5=68.80% | val_loss=2.7816 | val_top1=35.92% | val_top5=63.14% | epoch_time=12.1s
Epoch 47/500 | train_loss=2.4530 | train_top1=42.17% | train_top5=68.99% | val_loss=2.8188 | val_top1=35.95% | val_top5=61.77% | epoch_time=12.2s
Epoch 48/500 | train_loss=2.4393 | train_top1=42.52% | train_top5=69.16% | val_loss=2.7622 | val_top1=36.01% | val_top5=62.80% | epoch_time=12.2s
Epoch 49/500 | train_loss=2.4354 | train_top1=42.59% | train_top5=69.41% | val_loss=2.7802 | val_top1=35.63% | val_top5=62.72% | epoch_time=12.1s
Epoch 50/500 | train_loss=2.4226 | train_top1=42.88% | train_top5=69.52% | val_loss=2.8381 | val_top1=35.27% | val_top5=61.80% | epoch_time=12.1s
Epoch 51/500 | train_loss=2.4104 | train_top1=43.21% | train_top5=69.85% | val_loss=2.7855 | val_top1=35.75% | val_top5=62.31% | epoch_time=12.1s
Epoch 52/500 | train_loss=2.4031 | train_top1=43.05% | train_top5=69.97% | val_loss=2.8525 | val_top1=34.86% | val_top5=62.20% | epoch_time=12.1s
Epoch 53/500 | train_loss=2.3925 | train_top1=43.44% | train_top5=70.12% | val_loss=2.8277 | val_top1=35.45% | val_top5=61.79% | epoch_time=12.1s
Epoch 54/500 | train_loss=2.3811 | train_top1=43.76% | train_top5=70.34% | val_loss=2.8364 | val_top1=35.01% | val_top5=61.65% | epoch_time=12.1s
Epoch 55/500 | train_loss=2.3803 | train_top1=43.61% | train_top5=70.36% | val_loss=2.7953 | val_top1=36.05% | val_top5=63.16% | epoch_time=12.3s
Epoch 56/500 | train_loss=2.3622 | train_top1=44.12% | train_top5=70.43% | val_loss=2.8086 | val_top1=35.81% | val_top5=62.52% | epoch_time=12.1s
Epoch 57/500 | train_loss=2.3587 | train_top1=43.99% | train_top5=70.74% | val_loss=2.7819 | val_top1=36.50% | val_top5=63.05% | epoch_time=12.2s
Epoch 58/500 | train_loss=2.3456 | train_top1=44.48% | train_top5=70.95% | val_loss=2.7831 | val_top1=36.34% | val_top5=62.56% | epoch_time=12.1s
Epoch 59/500 | train_loss=2.3363 | train_top1=44.62% | train_top5=71.09% | val_loss=2.7623 | val_top1=36.79% | val_top5=63.19% | epoch_time=12.0s
Epoch 60/500 | train_loss=2.3255 | train_top1=44.87% | train_top5=71.32% | val_loss=2.8005 | val_top1=36.10% | val_top5=62.83% | epoch_time=12.1s
Epoch 61/500 | train_loss=2.3240 | train_top1=44.71% | train_top5=71.32% | val_loss=2.7275 | val_top1=36.83% | val_top5=64.28% | epoch_time=12.1s
Epoch 62/500 | train_loss=2.3127 | train_top1=45.28% | train_top5=71.49% | val_loss=2.8743 | val_top1=34.45% | val_top5=61.02% | epoch_time=12.1s
Epoch 63/500 | train_loss=2.3065 | train_top1=45.20% | train_top5=71.81% | val_loss=2.7679 | val_top1=36.74% | val_top5=63.02% | epoch_time=12.1s
Epoch 64/500 | train_loss=2.2999 | train_top1=45.30% | train_top5=71.74% | val_loss=2.7269 | val_top1=37.26% | val_top5=63.73% | epoch_time=12.0s
Epoch 65/500 | train_loss=2.2868 | train_top1=45.58% | train_top5=71.98% | val_loss=2.7806 | val_top1=36.05% | val_top5=63.22% | epoch_time=12.0s
Epoch 66/500 | train_loss=2.2815 | train_top1=45.76% | train_top5=72.07% | val_loss=2.8371 | val_top1=35.88% | val_top5=62.11% | epoch_time=12.2s
Epoch 67/500 | train_loss=2.2724 | train_top1=45.70% | train_top5=72.26% | val_loss=2.7761 | val_top1=36.41% | val_top5=62.85% | epoch_time=12.1s
Epoch 68/500 | train_loss=2.2658 | train_top1=45.99% | train_top5=72.38% | val_loss=2.7929 | val_top1=36.39% | val_top5=62.41% | epoch_time=12.2s
Epoch 69/500 | train_loss=2.2652 | train_top1=45.99% | train_top5=72.31% | val_loss=2.7027 | val_top1=38.50% | val_top5=63.90% | epoch_time=12.3s
Epoch 70/500 | train_loss=2.2536 | train_top1=46.29% | train_top5=72.61% | val_loss=2.7539 | val_top1=36.57% | val_top5=63.49% | epoch_time=12.1s
Epoch 71/500 | train_loss=2.2468 | train_top1=46.29% | train_top5=72.67% | val_loss=2.7000 | val_top1=37.26% | val_top5=64.34% | epoch_time=12.2s
Epoch 72/500 | train_loss=2.2376 | train_top1=46.63% | train_top5=72.90% | val_loss=2.7652 | val_top1=37.03% | val_top5=63.30% | epoch_time=12.1s
Epoch 73/500 | train_loss=2.2337 | train_top1=46.71% | train_top5=72.94% | val_loss=2.6776 | val_top1=38.83% | val_top5=64.46% | epoch_time=12.1s
Epoch 74/500 | train_loss=2.2229 | train_top1=46.97% | train_top5=73.20% | val_loss=2.7194 | val_top1=36.85% | val_top5=63.88% | epoch_time=12.2s
