Using device: cuda
[RUN] 20251009-084815_ResNet34_bs512_lr0.001
[IO ] checkpoints dir: checkpoints/20251009-084815_ResNet34_bs512_lr0.001
[IO ] metrics dir    : metrics/20251009-084815_ResNet34_bs512_lr0.001
[IO ] plots dir      : plots/20251009-084815_ResNet34_bs512_lr0.001
[IO ] checkpoint file: checkpoints/20251009-084815_ResNet34_bs512_lr0.001/20251009-084815_ResNet34_bs512_lr0.001_best.pth
[IO ] metrics file   : metrics/20251009-084815_ResNet34_bs512_lr0.001/20251009-084815_ResNet34_bs512_lr0.001_metrics.json
Training started..
Epoch 01/100 | train_loss=4.5558 | train_top1=6.95% | train_top5=21.04% | val_loss=4.2305 | val_top1=10.17% | val_top5=28.44% | epoch_time=294.2s
Epoch 02/100 | train_loss=3.7047 | train_top1=17.04% | train_top5=41.33% | val_loss=3.8061 | val_top1=16.58% | val_top5=40.16% | epoch_time=293.7s
Epoch 03/100 | train_loss=3.2402 | train_top1=24.95% | train_top5=52.31% | val_loss=3.3758 | val_top1=23.71% | val_top5=49.96% | epoch_time=293.4s
Epoch 04/100 | train_loss=2.9071 | train_top1=31.35% | train_top5=59.55% | val_loss=3.0803 | val_top1=28.30% | val_top5=56.33% | epoch_time=293.7s
Epoch 05/100 | train_loss=2.6449 | train_top1=36.52% | train_top5=64.94% | val_loss=3.0585 | val_top1=30.72% | val_top5=56.53% | epoch_time=293.9s
Epoch 06/100 | train_loss=2.4337 | train_top1=40.52% | train_top5=69.00% | val_loss=2.6146 | val_top1=37.38% | val_top5=65.77% | epoch_time=293.6s
Epoch 07/100 | train_loss=2.2516 | train_top1=44.50% | train_top5=72.45% | val_loss=2.6849 | val_top1=36.37% | val_top5=64.67% | epoch_time=293.3s
Epoch 08/100 | train_loss=2.0918 | train_top1=47.87% | train_top5=75.36% | val_loss=2.5409 | val_top1=40.30% | val_top5=67.26% | epoch_time=293.7s
Epoch 09/100 | train_loss=1.9505 | train_top1=50.85% | train_top5=77.70% | val_loss=2.5197 | val_top1=40.61% | val_top5=67.74% | epoch_time=293.2s
Epoch 10/100 | train_loss=1.8239 | train_top1=53.63% | train_top5=79.82% | val_loss=2.3818 | val_top1=43.00% | val_top5=70.42% | epoch_time=294.2s
Epoch 11/100 | train_loss=1.6983 | train_top1=56.38% | train_top5=81.97% | val_loss=2.2097 | val_top1=46.63% | val_top5=73.27% | epoch_time=293.8s
Epoch 12/100 | train_loss=1.5920 | train_top1=58.93% | train_top5=83.55% | val_loss=2.4069 | val_top1=44.44% | val_top5=71.15% | epoch_time=293.8s
Epoch 13/100 | train_loss=1.4830 | train_top1=61.11% | train_top5=85.28% | val_loss=2.2218 | val_top1=47.64% | val_top5=73.67% | epoch_time=293.7s
Epoch 14/100 | train_loss=1.3736 | train_top1=63.60% | train_top5=86.88% | val_loss=2.2152 | val_top1=47.96% | val_top5=74.67% | epoch_time=293.5s
Epoch 15/100 | train_loss=1.2777 | train_top1=65.99% | train_top5=88.33% | val_loss=2.2443 | val_top1=47.93% | val_top5=73.73% | epoch_time=293.7s
Epoch 16/100 | train_loss=1.1781 | train_top1=68.20% | train_top5=89.74% | val_loss=2.2182 | val_top1=48.42% | val_top5=74.57% | epoch_time=293.3s
Epoch 17/100 | train_loss=1.0783 | train_top1=70.75% | train_top5=91.02% | val_loss=2.2963 | val_top1=48.19% | val_top5=74.05% | epoch_time=293.3s
Epoch 18/100 | train_loss=0.9861 | train_top1=72.76% | train_top5=92.34% | val_loss=2.2361 | val_top1=49.83% | val_top5=74.86% | epoch_time=293.3s
Epoch 19/100 | train_loss=0.8909 | train_top1=74.96% | train_top5=93.58% | val_loss=2.2320 | val_top1=50.70% | val_top5=76.19% | epoch_time=293.6s
Epoch 20/100 | train_loss=0.8115 | train_top1=77.13% | train_top5=94.50% | val_loss=2.1872 | val_top1=50.96% | val_top5=76.55% | epoch_time=293.8s
Epoch 21/100 | train_loss=0.7166 | train_top1=79.66% | train_top5=95.59% | val_loss=2.2727 | val_top1=51.75% | val_top5=76.23% | epoch_time=293.8s
Epoch 22/100 | train_loss=0.6432 | train_top1=81.30% | train_top5=96.43% | val_loss=2.3194 | val_top1=51.03% | val_top5=75.80% | epoch_time=293.3s
Epoch 23/100 | train_loss=0.5593 | train_top1=83.71% | train_top5=97.28% | val_loss=2.3579 | val_top1=51.91% | val_top5=76.56% | epoch_time=293.3s
Epoch 24/100 | train_loss=0.4932 | train_top1=85.48% | train_top5=97.85% | val_loss=2.4268 | val_top1=51.27% | val_top5=75.44% | epoch_time=293.7s
Epoch 25/100 | train_loss=0.4282 | train_top1=87.35% | train_top5=98.43% | val_loss=2.4763 | val_top1=51.73% | val_top5=75.64% | epoch_time=293.8s
Epoch 26/100 | train_loss=0.3807 | train_top1=88.73% | train_top5=98.75% | val_loss=2.6692 | val_top1=51.00% | val_top5=74.49% | epoch_time=293.7s
Epoch 27/100 | train_loss=0.3434 | train_top1=89.73% | train_top5=99.04% | val_loss=2.5166 | val_top1=51.99% | val_top5=76.78% | epoch_time=293.8s
Epoch 28/100 | train_loss=0.3052 | train_top1=90.84% | train_top5=99.26% | val_loss=2.6069 | val_top1=53.08% | val_top5=76.11% | epoch_time=293.7s
Epoch 29/100 | train_loss=0.2624 | train_top1=92.16% | train_top5=99.46% | val_loss=2.6383 | val_top1=52.16% | val_top5=76.15% | epoch_time=293.5s
Epoch 30/100 | train_loss=0.2521 | train_top1=92.39% | train_top5=99.52% | val_loss=2.9221 | val_top1=49.50% | val_top5=74.23% | epoch_time=289.9s
Epoch 31/100 | train_loss=0.2336 | train_top1=92.93% | train_top5=99.59% | val_loss=2.7298 | val_top1=51.83% | val_top5=75.95% | epoch_time=289.8s
Epoch 32/100 | train_loss=0.2077 | train_top1=93.67% | train_top5=99.69% | val_loss=2.7054 | val_top1=53.47% | val_top5=76.56% | epoch_time=289.7s
Epoch 33/100 | train_loss=0.1930 | train_top1=94.15% | train_top5=99.75% | val_loss=2.7940 | val_top1=52.09% | val_top5=75.96% | epoch_time=289.6s
Epoch 34/100 | train_loss=0.1859 | train_top1=94.32% | train_top5=99.74% | val_loss=2.9701 | val_top1=52.13% | val_top5=75.43% | epoch_time=289.9s
Epoch 35/100 | train_loss=0.1853 | train_top1=94.29% | train_top5=99.75% | val_loss=2.9171 | val_top1=52.20% | val_top5=75.71% | epoch_time=289.7s
